pushup_pose,pose_world_landmarks
0,"[ 0.57843024  0.23817918 -0.38151291  0.99999225  0.59577668  0.20472872
 -0.38274187  0.99999404  0.59357744  0.20421967 -0.36922246  0.99999428
  0.59392327  0.20414904 -0.37328634  0.99999619  0.59408283  0.2127468
 -0.42093825  0.99999642  0.58980346  0.21156859 -0.4338569   0.99999714
  0.57945979  0.21471494 -0.41050851  0.9999975   0.55792344  0.12706856
 -0.30540583  0.99999797  0.44588745  0.1082463  -0.42205149  0.99999392
  0.55614591  0.22860566 -0.33612081  0.99999249  0.50774205  0.22083688
 -0.39597771  0.9999913   0.50049406  0.03720148 -0.11604412  0.99998224
  0.32028335  0.10990402 -0.28272572  0.99996483  0.50654817  0.11474106
  0.04884629  0.24999154  0.03289595  0.10984444 -0.31378984  0.99893433
  0.54101229  0.32610241  0.15420815  0.89991266  0.04781244  0.31203809
 -0.31804916  0.99948525  0.62075531  0.34177035  0.1627381   0.9464432
  0.0915909   0.38202018 -0.40227371  0.99928766  0.59982699  0.34772173
  0.14169693  0.95277494  0.17203476  0.406223   -0.3816427   0.99923623
  0.52382553  0.34776354  0.14638528  0.94382328  0.08828513  0.32785732
 -0.3222228   0.99792898  0.05622238 -0.03432864  0.11750612  0.99996972
 -0.05141779  0.03606477 -0.11524434  0.9999795  -0.2902275  -0.12716675
  0.30479893  0.53515333 -0.2890383   0.12399182  0.10794466  0.97922522
 -0.54413509 -0.30612734  0.53068787  0.70915759 -0.55176425  0.10769211
  0.3864246   0.98605925 -0.56566292 -0.34051615  0.56972599  0.84198809
 -0.56930268  0.11578752  0.37991372  0.98547065 -0.55832583 -0.26702133
  0.63218731  0.875507   -0.51715761  0.2430764   0.42272869  0.97993052]"
1,"[-0.67193234  0.061423   -0.19894391  0.99981576 -0.67508781  0.01702406
 -0.23709524  0.99955505 -0.67457825  0.01842662 -0.22392265  0.99965727
 -0.67561674  0.01879473 -0.22592875  0.9996624  -0.69710469  0.00758988
 -0.21396653  0.99971873 -0.69605124  0.00594495 -0.22859073  0.99983406
 -0.68159086  0.00100981 -0.20717348  0.99987006 -0.59780651 -0.0955212
 -0.30578682  0.99981409 -0.59647453 -0.10045101 -0.14258254  0.99983954
 -0.63133752  0.01603406 -0.20790736  0.99973518 -0.61086977  0.0123142
 -0.19068472  0.99974567 -0.3893089  -0.08998322 -0.27057832  0.99989319
 -0.5582006  -0.12560874  0.08889318  0.99988723 -0.31749141  0.11519265
 -0.31443655  0.97659552 -0.46862531  0.08720863  0.1243      0.08024217
 -0.32352886  0.32124755 -0.23709072  0.99291891 -0.52479261  0.31120619
  0.06032702  0.8980431  -0.36122766  0.37036139 -0.2433479   0.99417925
 -0.57742345  0.30653718  0.02689443  0.95361775 -0.39047831  0.36244661
 -0.22191834  0.9941299  -0.6008839   0.28950086  0.00182195  0.95636308
 -0.32728755  0.32344404 -0.22695889  0.98570132 -0.54189348  0.31961519
  0.04146387  0.94708055  0.02749331  0.00288446 -0.07576373  0.99974638
 -0.03273587 -0.00579491  0.07485559  0.9996978   0.39126453  0.133691
  0.04029081  0.49311894  0.28132743  0.07139704  0.22576723  0.01714875
  0.71910369  0.19524428  0.19948798  0.87478042  0.63969231  0.17862941
  0.43396702  0.11815085  0.74563289  0.23113926  0.2179475   0.86346674
  0.66462153  0.19767767  0.41375712  0.30165672  0.67392504  0.33863848
  0.19158065  0.91006243  0.57499802  0.29992247  0.39880615  0.3831304 ]"
0,"[-0.05301397 -0.06166541 -0.70269865  1.         -0.02084967 -0.09060338
 -0.70503533  1.         -0.01980356 -0.08642931 -0.69169772  1.
 -0.01759781 -0.08995139 -0.69489008  1.         -0.06247605 -0.10012695
 -0.70731515  1.         -0.05709118 -0.10093349 -0.72727698  1.
 -0.0466089  -0.08648209 -0.70402932  1.          0.09558039 -0.16278671
 -0.5846107   1.         -0.11338916 -0.0790622  -0.56350261  1.
 -0.00504885 -0.08837408 -0.63817459  0.99999976 -0.05382738 -0.04987831
 -0.65867007  0.99999952  0.15379661 -0.16362043 -0.39467156  0.99999428
 -0.15636042 -0.22810045 -0.2925387   0.99998701  0.32889479 -0.17641866
 -0.45592779  0.99928004 -0.21460544 -0.14658096 -0.31757733  0.95253706
  0.53402817 -0.05045079 -0.40244007  0.99702924 -0.38501614 -0.11776797
 -0.29419672  0.97626162  0.57941222 -0.06319889 -0.39666262  0.99164259
 -0.41510713 -0.14921321 -0.28931534  0.97880459  0.56721407 -0.01588747
 -0.42235655  0.99402857 -0.414864   -0.18504305 -0.3129096   0.98156381
  0.55494553 -0.01392709 -0.41039237  0.99462539 -0.40145281 -0.13152792
 -0.3072325   0.98214221  0.08789685 -0.00677282  0.01347833  0.99996996
 -0.08841164  0.00748841 -0.01759164  0.99996567  0.12323783  0.22940689
  0.30078718  0.9271934  -0.084107    0.13067687  0.24289253  0.9867335
  0.20192033  0.14070736  0.65120679  0.37373632  0.01153493  0.26804963
  0.54888123  0.79020059  0.19430278  0.14318892  0.69308883  0.13543183
  0.01473968  0.27473241  0.54259127  0.2982949   0.20763429  0.15353769
  0.76529866  0.64452267 -0.00227801  0.27724943  0.59222335  0.89803207]"
0,"[-5.02936900e-01  4.87931557e-02 -5.68613112e-01  9.99978304e-01
 -4.92155164e-01 -2.88563967e-03 -5.82673490e-01  9.99974966e-01
 -4.89009231e-01 -3.29123810e-03 -5.69145262e-01  9.99960661e-01
 -4.92195487e-01 -2.55854800e-03 -5.70201933e-01  9.99978542e-01
 -5.35682499e-01  3.21783125e-04 -5.86236537e-01  9.99981999e-01
 -5.32367885e-01 -3.96543741e-03 -6.02171957e-01  9.99975562e-01
 -5.21891415e-01 -8.10992345e-03 -5.78323722e-01  9.99986887e-01
 -3.81442755e-01 -6.00352213e-02 -5.29338419e-01  9.99981880e-01
 -4.74220723e-01  4.33998182e-04 -5.02437711e-01  9.99971628e-01
 -4.58223611e-01  4.38679904e-02 -5.35861611e-01  9.99974370e-01
 -4.66764688e-01  5.12076244e-02 -5.56973338e-01  9.99983191e-01
 -1.76547498e-01  2.12561265e-02 -4.23441976e-01  9.99971390e-01
 -5.23525774e-01  1.69517100e-03 -1.93582058e-01  9.99964476e-01
  2.09341738e-02  6.94200844e-02 -3.99733394e-01  9.92721498e-01
 -3.81536841e-01  8.98710042e-02 -4.42569442e-02  2.98705157e-02
 -1.65234115e-02  2.67626584e-01 -3.01443130e-01  9.72357512e-01
 -3.49867761e-01  3.01000953e-01 -3.38006541e-02  2.18039781e-01
 -5.02707064e-02  3.37893933e-01 -2.97614545e-01  9.47724819e-01
 -3.99418741e-01  3.08927655e-01 -7.06889629e-02  3.71916622e-01
 -9.21281278e-02  3.19723994e-01 -3.03587347e-01  9.49081957e-01
 -4.08722639e-01  3.05798262e-01 -8.46726671e-02  3.92623693e-01
 -2.73858048e-02  2.64520943e-01 -3.00970048e-01  9.13139582e-01
 -3.55647653e-01  3.16735148e-01 -4.54519652e-02  3.27042192e-01
  5.13123050e-02  2.38410272e-02 -5.79307042e-02  9.99759376e-01
 -5.45428060e-02 -2.79864129e-02  5.71813546e-02  9.99732673e-01
  4.70987797e-01 -1.47421472e-03  7.53873512e-02  6.15650356e-01
  3.06753844e-01 -4.27314527e-02  1.64357945e-01  1.72740109e-02
  7.49076068e-01 -3.10424995e-02  3.28373969e-01  7.03350723e-01
  6.75868750e-01 -5.56578487e-02  4.11577731e-01  7.57610276e-02
  7.75954187e-01 -7.55221397e-03  3.57077181e-01  7.50417829e-01
  7.04114318e-01 -4.04534750e-02  3.99493992e-01  1.66565448e-01
  7.55687535e-01  1.31635383e-01  3.57094198e-01  6.68337047e-01
  6.29430532e-01  8.59845877e-02  3.76926601e-01  1.35682613e-01]"
1,"[ 5.97805321e-01  1.18893236e-02 -1.81273267e-01  9.99977708e-01
  6.24442816e-01 -1.25294998e-02 -1.89252734e-01  9.99928713e-01
  6.24583900e-01 -1.19884163e-02 -1.77503124e-01  9.99954820e-01
  6.25445783e-01 -1.15411952e-02 -1.81048363e-01  9.99948382e-01
  6.30480766e-01 -3.55278701e-03 -2.28082597e-01  9.99953508e-01
  6.29630685e-01 -2.36333162e-03 -2.40498617e-01  9.99982595e-01
  6.18694067e-01  6.24576211e-03 -2.18343243e-01  9.99976516e-01
  6.11162126e-01 -1.06849916e-01 -1.45012647e-01  9.99965549e-01
  5.34858108e-01 -7.80053586e-02 -2.73105681e-01  9.99966502e-01
  5.87509751e-01 -8.55305046e-03 -1.47596955e-01  9.99893069e-01
  5.45379221e-01  5.00217080e-04 -2.11290911e-01  9.99917746e-01
  4.58860338e-01 -1.35910988e-01  3.44747938e-02  9.99978304e-01
  4.88685906e-01 -5.38458452e-02 -1.94634810e-01  9.99989033e-01
  4.19074327e-01  5.35586625e-02  1.05006009e-01  2.83925027e-01
  3.55856270e-01  1.88743830e-01 -2.50705928e-01  9.99333084e-01
  3.87136042e-01  2.74279654e-01  1.56293586e-01  5.20625234e-01
  3.54876935e-01  3.90269995e-01 -2.21303523e-01  9.99697089e-01
  4.54475284e-01  2.70433187e-01  1.86606660e-01  6.02850080e-01
  4.29333478e-01  4.30517584e-01 -2.90046722e-01  9.99586880e-01
  4.52904195e-01  2.74920404e-01  1.57012671e-01  6.17962360e-01
  4.96089548e-01  4.14260715e-01 -2.51892954e-01  9.99571741e-01
  3.83249819e-01  2.99549192e-01  1.47411942e-01  5.79340637e-01
  3.92606199e-01  3.89910519e-01 -2.14585036e-01  9.98797774e-01
  7.98114482e-03 -2.54956596e-02  1.17560387e-01  9.99912620e-01
 -1.07257348e-03  2.56269090e-02 -1.17094956e-01  9.99968052e-01
 -3.88852656e-01  1.02668911e-01  2.49743998e-01  2.14170322e-01
 -3.15042228e-01  1.33438691e-01  2.31945571e-02  9.75209415e-01
 -7.08472073e-01  2.00517327e-01  4.30856079e-01  6.19719088e-01
 -7.06226826e-01  1.43332511e-01  2.08818182e-01  9.91121531e-01
 -7.43222415e-01  1.94083452e-01  4.59116399e-01  8.60869348e-01
 -7.38311172e-01  1.48995355e-01  1.92280516e-01  9.85680223e-01
 -7.04087794e-01  2.73405433e-01  4.88945246e-01  8.47965419e-01
 -6.85562253e-01  2.47142196e-01  1.81773648e-01  9.83921528e-01]"
0,"[-0.16009323 -0.17775397 -0.76382917  0.99968147 -0.12709485 -0.21891998
 -0.76680839  0.99953461 -0.12783143 -0.21136945 -0.75428814  0.99916434
 -0.12997124 -0.21594557 -0.75669849  0.99944609 -0.16356352 -0.23662491
 -0.7639271   0.99959463 -0.1608775  -0.23927997 -0.78492641  0.99947518
 -0.15002614 -0.22489381 -0.75871092  0.99972612 -0.01701283 -0.2422016
 -0.67618984  0.99975783 -0.1807262  -0.2288495  -0.6240437   0.99973208
 -0.11704614 -0.17524527 -0.72001016  0.99946684 -0.14674854 -0.16195127
 -0.7284106   0.99964356  0.13750915 -0.17355013 -0.519355    0.99973196
 -0.29371202 -0.28965938 -0.40596974  0.99993432  0.30820248 -0.04584157
 -0.5730539   0.99831498 -0.43711323 -0.0466743  -0.47584969  0.96064943
  0.29330114  0.24677622 -0.53253782  0.95918477 -0.50849771  0.21614811
 -0.54853028  0.94374841  0.27476105  0.29815936 -0.55318302  0.85942388
 -0.53487861  0.23835798 -0.60878199  0.85376322  0.19782016  0.32912317
 -0.57003945  0.88766444 -0.4724119   0.22148125 -0.61727637  0.89572251
  0.27229941  0.28704706 -0.5396803   0.84072518 -0.48853654  0.2342788
 -0.56570244  0.87182736  0.0879466   0.00694696 -0.0147133   0.99860054
 -0.08922973 -0.00979531  0.01181139  0.99906212  0.24463598  0.17868049
  0.29572254  0.03561446  0.11110762  0.08019868  0.36480573  0.00395203
  0.36097229  0.20466018  0.63308799  0.02578597  0.20916748  0.20169866
  0.73891318  0.00614171  0.357795    0.22272465  0.67221946  0.02067783
  0.20780843  0.21604648  0.73644966  0.0086678   0.31445256  0.30814683
  0.61886179  0.07151027  0.16031611  0.24050175  0.67290992  0.02505158]"
1,"[ 3.89510632e-01  4.88819182e-03 -6.77542269e-01  9.99350369e-01
  3.93088222e-01 -3.87323052e-02 -6.76159084e-01  9.98888910e-01
  3.88111115e-01 -3.90093625e-02 -6.64526463e-01  9.99014854e-01
  3.86900425e-01 -3.87719646e-02 -6.67493939e-01  9.99413133e-01
  3.78687412e-01 -3.89376506e-02 -7.11169362e-01  9.99495983e-01
  3.76564592e-01 -3.70849445e-02 -7.27093697e-01  9.99569952e-01
  3.67316306e-01 -3.10678631e-02 -7.01317847e-01  9.99533772e-01
  3.57877731e-01 -7.12439418e-02 -5.62594473e-01  9.99757826e-01
  2.00100318e-01 -7.97433257e-02 -6.73737586e-01  9.99260485e-01
  3.77872229e-01  1.90382749e-02 -6.12884164e-01  9.99384522e-01
  3.20931315e-01  2.23784372e-02 -6.73362851e-01  9.99132097e-01
  4.08297896e-01 -7.90736005e-02 -4.06334281e-01  9.99981284e-01
  1.05628565e-01 -5.89453503e-02 -4.64612156e-01  9.99475300e-01
  5.46572626e-01  8.18459392e-02 -3.61658573e-01  9.13379014e-01
 -8.78273919e-02  1.23737633e-01 -4.97980624e-01  9.93287027e-01
  6.20125532e-01  3.23899865e-01 -3.32578748e-01  9.74002898e-01
 -7.32556731e-02  3.14619571e-01 -5.42065501e-01  9.96067524e-01
  7.10072994e-01  3.25920671e-01 -3.44343573e-01  9.73451793e-01
 -4.19539660e-02  3.63344014e-01 -6.43740594e-01  9.93539393e-01
  6.67007983e-01  3.36812615e-01 -3.73728961e-01  9.80563939e-01
  6.00778908e-02  3.60002339e-01 -6.39307320e-01  9.94340658e-01
  5.99383473e-01  3.56632531e-01 -3.44644815e-01  9.79205191e-01
 -3.19735855e-02  3.22715670e-01 -5.56911528e-01  9.87052500e-01
  9.05027762e-02  4.00690362e-04  8.52954760e-02  9.99690056e-01
 -8.46859217e-02 -2.43567303e-03 -8.39575082e-02  9.99691725e-01
 -1.39620617e-01  3.52390967e-02  3.55162859e-01  5.93227148e-02
 -2.87068278e-01  8.84939432e-02  2.05935910e-01  8.39643955e-01
 -2.52956420e-01  5.03669642e-02  7.29928136e-01  1.01191558e-01
 -5.93848526e-01  5.01618236e-02  5.42775273e-01  9.02236879e-01
 -2.63482571e-01  3.89309898e-02  7.81941831e-01  1.43796742e-01
 -6.16356134e-01  5.10839373e-02  5.45650184e-01  6.42888248e-01
 -2.27051914e-01  8.94889981e-02  7.96109796e-01  3.32487106e-01
 -6.02685869e-01  1.26466513e-01  5.01161039e-01  8.49990904e-01]"
1,"[-0.69969052 -0.03667849 -0.12142502  0.99995542 -0.69466895 -0.0748568
 -0.15586755  0.99988878 -0.69463539 -0.07413018 -0.14275895  0.999897
 -0.69555157 -0.0733685  -0.14558862  0.9999063  -0.71452177 -0.08822052
 -0.1382699   0.99994719 -0.71185905 -0.08897373 -0.15042426  0.99996459
 -0.69936824 -0.09275767 -0.12972079  0.99997699 -0.60633624 -0.15021406
 -0.2133891   0.99992597 -0.59726435 -0.16284287 -0.06817712  0.99996078
 -0.65996993 -0.06518917 -0.1251253   0.99983764 -0.63532877 -0.06942791
 -0.11350258  0.99988639 -0.44892487 -0.06332619 -0.19900811  0.9999038
 -0.52399927 -0.15768047  0.17236209  0.99980599 -0.43385258  0.17894012
 -0.21647087  0.97456396 -0.42290282  0.08170829  0.19486749  0.05897251
 -0.46305081  0.38550586 -0.07155761  0.97062474 -0.45842057  0.32124013
  0.14958133  0.39085731 -0.52053112  0.43068317 -0.06445147  0.97012454
 -0.51094818  0.31516281  0.12600455  0.50044525 -0.5378722   0.41496435
 -0.04444401  0.96702129 -0.54113948  0.30351979  0.09891797  0.50786918
 -0.46278992  0.3837347  -0.06030842  0.93856901 -0.4825426   0.33101282
  0.13165137  0.46769315 -0.00163338  0.02227794 -0.07565289  0.99993324
 -0.00182369 -0.02447333  0.0764164   0.99992228  0.38480338  0.15845737
 -0.03709424  0.94555002  0.32922587  0.08996524  0.1356719   0.09312351
  0.72899234  0.24887523  0.06816398  0.96818852  0.71100956  0.25716642
  0.28464666  0.27325705  0.75552964  0.28546727  0.08400527  0.95932889
  0.73754227  0.2809484   0.25839984  0.43989623  0.68279481  0.38420901
  0.06604358  0.96702141  0.64632297  0.36370835  0.23833737  0.56102866]"
1,"[-0.67389899  0.04252209 -0.11751814  0.99991548 -0.68506539  0.00965048
 -0.15441626  0.99978393 -0.68366539  0.00920644 -0.14148712  0.99982858
 -0.68485498  0.00996701 -0.14572187  0.99979287 -0.69914597 -0.00174268
 -0.13303365  0.99989986 -0.69616014 -0.00409961 -0.14567818  0.99994314
 -0.68376607 -0.00675301 -0.12479008  0.99995601 -0.61927581 -0.10317682
 -0.22023882  0.99988091 -0.59324139 -0.10780978 -0.05640928  0.99995315
 -0.63874501 -0.00780731 -0.12352188  0.99962962 -0.6079151  -0.00891587
 -0.10570297  0.99973649 -0.456732   -0.0768657  -0.18597724  0.99987543
 -0.49298066 -0.16311321  0.16580854  0.99965453 -0.41221797  0.12588885
 -0.24333787  0.95728695 -0.35363945  0.05973164  0.18278372  0.02324871
 -0.41176111  0.32669005 -0.13846992  0.96598411 -0.35269409  0.29011908
  0.14099729  0.21487513 -0.46918154  0.36369836 -0.13588805  0.97506535
 -0.39767864  0.28059232  0.12359104  0.31473535 -0.48713472  0.35274291
 -0.1075575   0.97470164 -0.42304295  0.26419979  0.09616842  0.32731596
 -0.41266543  0.32588834 -0.12694876  0.95470619 -0.3741191   0.29761982
  0.12330821  0.28475124 -0.00719967  0.02119712 -0.07264008  0.99962401
  0.00326048 -0.02374286  0.07269777  0.99945277  0.41248187  0.14698654
 -0.04457613  0.82992154  0.34069675  0.03968037  0.13365257  0.01888289
  0.76541954  0.17148696  0.02381056  0.9369458   0.73682344  0.17381361
  0.25977111  0.08777093  0.79460955  0.19691789  0.03540818  0.95295703
  0.76874143  0.19078645  0.23134112  0.21566013  0.73758131  0.3048752
  0.02437955  0.95923465  0.69465643  0.28004882  0.20988367  0.33640584]"
0,"[ 0.68559569  0.21431038 -0.11240239  0.99941313  0.71124762  0.18239537
 -0.10650742  0.99855977  0.7120949   0.18387783 -0.09417195  0.99902523
  0.71229208  0.18395686 -0.09792581  0.99913579  0.71552849  0.18792213
 -0.15512587  0.99914372  0.71387655  0.18923676 -0.16985032  0.99955231
  0.70391643  0.19214535 -0.14609943  0.99953222  0.68938899  0.08514139
 -0.03043788  0.99985826  0.60656142  0.05738357 -0.19698219  0.99970311
  0.66831303  0.20371234 -0.07293954  0.99956936  0.62336916  0.19230732
 -0.14629668  0.99965417  0.49897915  0.00489569  0.10803229  0.99992764
  0.52938855  0.03085877 -0.11206599  0.99995589  0.32761627 -0.05528743
  0.22974449  0.37278527  0.25603452 -0.03046504 -0.21901096  0.99688703
  0.35182816  0.13999821  0.37942836  0.10251506  0.30612615  0.15437457
 -0.30596837  0.99963236  0.41944668  0.14241683  0.40450653  0.26631489
  0.38174784  0.21336289 -0.37308085  0.99977845  0.45548511  0.15166751
  0.39667276  0.29644814  0.45008242  0.23662218 -0.33347037  0.99977154
  0.35834691  0.16445625  0.37526941  0.28123465  0.3459537   0.16971557
 -0.3015587   0.99955696  0.01536784 -0.00253755  0.1198213   0.99819297
 -0.00778482  0.00477805 -0.1200527   0.99931455 -0.42987815  0.03040731
  0.17173524  0.16874771 -0.3716799   0.05642048 -0.0530084   0.97039402
 -0.74288696  0.08759564  0.33657429  0.27211475 -0.74457401 -0.01816758
  0.13151784  0.96137708 -0.77138799  0.07249993  0.3630088   0.60813475
 -0.77528352 -0.02387935  0.1125279   0.9703967  -0.75537193  0.15163599
  0.37561968  0.5230698  -0.73034525  0.06613816  0.11711002  0.9252454 ]"
0,"[-6.67694151e-01  2.20469743e-01 -1.90472929e-06  9.99985933e-01
 -6.75854385e-01  1.87853530e-01 -3.59974355e-02  9.99983072e-01
 -6.74830735e-01  1.86882824e-01 -2.60810610e-02  9.99983191e-01
 -6.77584648e-01  1.88746139e-01 -2.83451956e-02  9.99988079e-01
 -6.96141183e-01  1.72152445e-01 -1.73437074e-02  9.99988556e-01
 -6.93433940e-01  1.71323463e-01 -2.75620669e-02  9.99988198e-01
 -6.82525694e-01  1.63164467e-01 -7.51033146e-03  9.99990940e-01
 -6.26669645e-01  8.49492699e-02 -1.21811323e-01  9.99992490e-01
 -6.04406059e-01  4.08507884e-02  3.93749252e-02  9.99986410e-01
 -6.41534328e-01  1.76230788e-01 -1.23997079e-02  9.99983430e-01
 -6.13417387e-01  1.57876924e-01  3.82836629e-03  9.99974370e-01
 -4.35360551e-01  7.37900436e-02 -1.25906244e-01  9.99983191e-01
 -5.10204911e-01 -1.02838054e-02  2.46516109e-01  9.99900699e-01
 -2.85931379e-01  1.72698289e-01 -1.88164279e-01  9.92873192e-01
 -3.20896566e-01  1.30738974e-01  3.29519272e-01  3.14280316e-02
 -3.62101138e-01  3.05336237e-01 -3.84864360e-02  9.71011817e-01
 -3.89102608e-01  3.18348378e-01  3.87033492e-01  2.56524563e-01
 -4.12752748e-01  3.47464949e-01 -2.63427366e-02  9.57904994e-01
 -4.46012795e-01  3.13122332e-01  3.81120414e-01  3.47425699e-01
 -4.25936133e-01  3.28753650e-01 -1.17574949e-02  9.47645068e-01
 -4.91388023e-01  3.03692877e-01  3.67726535e-01  3.32672864e-01
 -3.66048157e-01  2.92533636e-01 -3.01963985e-02  9.03363943e-01
 -4.15962368e-01  3.30394417e-01  3.77760589e-01  3.31634730e-01
  7.79295573e-03  2.23362744e-02 -7.87565410e-02  9.99878049e-01
 -1.40858172e-02 -2.38511618e-02  7.75862709e-02  9.99851465e-01
  4.04696643e-01  8.95785019e-02 -9.54521969e-02  9.75035727e-01
  3.35638404e-01  4.57726792e-02  9.87317562e-02  3.42072219e-01
  7.55493641e-01  1.45454511e-01 -9.96414497e-02  9.88899827e-01
  7.67664850e-01  1.02951631e-01  1.77091271e-01  6.32784903e-01
  7.92575300e-01  1.86559215e-01 -9.63061526e-02  9.79747415e-01
  8.03883314e-01  1.28154606e-01  1.44594029e-01  8.35719109e-01
  7.23182678e-01  3.15844655e-01 -1.22128204e-01  9.75807369e-01
  7.52424598e-01  2.80938923e-01  1.55456111e-01  7.09485948e-01]"
1,"[-0.5653193  -0.00498138 -0.48687512  0.99938726 -0.54955029 -0.04766201
 -0.51607454  0.99919027 -0.54868919 -0.0458071  -0.50099397  0.99916959
 -0.55058044 -0.04595126 -0.50284964  0.99929547 -0.57155508 -0.05549412
 -0.49549952  0.99944466 -0.57007164 -0.05941228 -0.51307166  0.99954897
 -0.55486459 -0.06125377 -0.4880372   0.99974114 -0.45272294 -0.13088256
 -0.54588991  0.99927431 -0.46384835 -0.1084687  -0.40278637  0.99947351
 -0.52393109 -0.03298564 -0.48078653  0.99935311 -0.50819641 -0.03186065
 -0.47153315  0.99946088 -0.2562626  -0.09342043 -0.47147611  0.99972683
 -0.52771622 -0.12465338 -0.15597631  0.99991405 -0.25352126  0.18057248
 -0.49572849  0.99218482 -0.46379533  0.09830233 -0.0828714   0.42563972
 -0.28430879  0.40234262 -0.42232841  0.99193972 -0.51668513  0.36147469
 -0.10939167  0.94887114 -0.30779591  0.45341697 -0.44633812  0.98841095
 -0.56675023  0.37396622 -0.15568817  0.949229   -0.33962291  0.45058048
 -0.44802883  0.98954189 -0.57146388  0.35940534 -0.19167462  0.95863461
 -0.28488436  0.41007993 -0.42445415  0.96784133 -0.52378905  0.37258011
 -0.13694859  0.93689394  0.06292122 -0.00670719 -0.07122546  0.99939716
 -0.06791728  0.00308521  0.07055219  0.99949253  0.39699227  0.12941313
  0.09603124  0.32941052  0.26434556  0.09712353  0.25130063  0.01153557
  0.71406615  0.2335484   0.26244712  0.78407502  0.60297251  0.23050261
  0.485627    0.05794187  0.74069196  0.27149329  0.27825353  0.66521728
  0.62686378  0.25570494  0.47159135  0.11025595  0.69766575  0.37231168
  0.22989555  0.8256073   0.54525799  0.34835407  0.4324365   0.24181749]"
1,"[-0.51572311  0.16052645 -0.13001478  0.99912399 -0.53341913  0.15360403
 -0.16193062  0.99806327 -0.53320545  0.15418781 -0.14971086  0.99827981
 -0.53406388  0.15468153 -0.15175402  0.99870253 -0.54972714  0.15023896
 -0.14568941  0.99857759 -0.54875547  0.14842901 -0.15829788  0.99886477
 -0.53646773  0.14111203 -0.13697903  0.99922395 -0.56044823  0.06282389
 -0.21438888  0.998519   -0.53607833  0.06755902 -0.07667303  0.99795109
 -0.52032834  0.10630789 -0.1333098   0.99658173 -0.49270511  0.10245315
 -0.12200788  0.99609071 -0.45087206 -0.01156736 -0.21314658  0.99983811
 -0.55033672  0.00744189  0.14662793  0.99918562 -0.4092806   0.18748635
 -0.29139754  0.98185629 -0.42047679  0.21844681  0.15419526  0.02000952
 -0.39436632  0.39718634 -0.19807214  0.96615303 -0.40747333  0.46807489
  0.09319919  0.07761317 -0.4319607   0.45315814 -0.20328791  0.95850277
 -0.45073268  0.48462623  0.06362946  0.11311948 -0.45452392  0.46267673
 -0.18917179  0.95731539 -0.48844355  0.48129553  0.03958765  0.1195026
 -0.39344198  0.40322691 -0.18883538  0.91050005 -0.42541307  0.48245722
  0.07569435  0.11648761  0.01324325 -0.00256421 -0.07333468  0.99967933
 -0.01727168  0.00144231  0.07430062  0.99956304  0.41593093  0.06088922
 -0.02303179  0.52459192  0.33670637  0.04342188  0.12576179  0.03211455
  0.77787876  0.05888733  0.07687386  0.74778229  0.74331921  0.08746045
  0.25677395  0.10615385  0.81324756  0.08569849  0.08921575  0.73041677
  0.77568614  0.1002534   0.23069119  0.27539387  0.77635717  0.19833234
  0.05536718  0.73107332  0.7268514   0.20503065  0.2072373   0.23090073]"
1,"[-0.59811634  0.08124764 -0.09177706  0.99993658 -0.61355001  0.05750462
 -0.12784813  0.99982363 -0.61228156  0.05768307 -0.1154483   0.99987006
 -0.61337614  0.05800761 -0.11841936  0.99986446 -0.62987113  0.04928555
 -0.10650263  0.99989223 -0.62784189  0.0478504  -0.1189695   0.99993634
 -0.61500043  0.04316524 -0.09833092  0.99994326 -0.59286612 -0.05513623
 -0.19239172  0.99991381 -0.57231492 -0.05301542 -0.03266412  0.99991608
 -0.57948804  0.0252896  -0.09912117  0.99973577 -0.55075163  0.02507904
 -0.08125958  0.99971706 -0.44000107 -0.07892971 -0.17133251  0.99995077
 -0.51496094 -0.12948301  0.19373937  0.99979085 -0.37414593  0.09778235
 -0.24075086  0.98424906 -0.368339    0.08210452  0.20091812  0.01702161
 -0.38958392  0.32005754 -0.15348804  0.98959887 -0.37759966  0.30361661
  0.12905015  0.27797481 -0.45410284  0.37185276 -0.15728422  0.99104136
 -0.4330048   0.29599884  0.10664099  0.46179491 -0.48448253  0.36242065
 -0.12685232  0.99048752 -0.46685973  0.28407496  0.07983611  0.46561018
 -0.39811721  0.32144374 -0.1390259   0.97861439 -0.39986986  0.31422588
  0.11141815  0.44134381  0.00570768  0.01528696 -0.07623241  0.9997049
 -0.00993655 -0.01783042  0.07640865  0.99950778  0.41172174  0.14381664
 -0.07114572  0.93445593  0.31714502  0.04949043  0.14781097  0.05043398
  0.77691728  0.18776724 -0.02439653  0.98736548  0.72313523  0.18124726
  0.28806227  0.32281178  0.80556947  0.21839526 -0.01616927  0.9833191
  0.75327766  0.20048979  0.25938004  0.56526232  0.72077453  0.3264733
 -0.05267557  0.98893052  0.67363834  0.29865497  0.23670264  0.63290572]"
